title,description,ingredients,steps
Minty yogurt lamb with nutty couscous,"Next time you fancy a lovely summer recipe that’s budget-friendly too, try our minty yogurt lamb with nutty couscous.","['8 small lamb leg steaks', '200g Greek yogurt', '2 garlic cloves, crushed', 'Small bunch of fresh mint, chopped', '250g couscous', '400ml chicken stock, hot', '2 tbsp extra-virgin olive oil', 'Pared zest and juice of 1 lemon', '2 tbsp chopped fresh flatleaf parsley', '50g hazelnuts, toasted and roughly chopped']","['Preheat the grill to high. Place the lamb leg steaks in a bowl with the yogurt, garlic and half the mint. Mix together, season and set aside for 10 minutes to marinate.', 'Meanwhile, place the couscous in a bowl. Pour over the hot stock, oil and sprinkle with the lemon zest. Cover with cling film and stand for 10 minutes. Fluff up with a fork, then add the lemon juice, remaining herbs and nuts. Season and set aside.', 'Place the lamb on a grill pan and grill for 4-5 minutes each side until cooked but still a little pink in the middle. Serve with the couscous.']"
Spiced prawns with new potatoes,"A low-fat, low-calorie spicy prawn dish that’s nutritious, comforting and quick to make. Use raw king prawns for a touch of luxury.","['400g new potatoes, quartered', '2 tbsp olive oil', '2 shallots, finely chopped', '1 tbsp ras el hanout', 'Good pinch of cayenne pepper', '75ml white wine', '400g can cherry tomatoes', '300g raw king prawns, peeled but with tail shells intact', '2 tbsp chopped fresh coriander']","['Cook the potatoes in a pan of boiling salted water for 5 minutes, then drain. Meanwhile, heat the oil in a frying pan and gently fry the shallots and spices for 5 minutes.', 'Add the wine and reduce by half. Add the tomatoes and potatoes, season and simmer for 10 minutes.', 'Add the prawns and bubble for 3-4 minutes until the prawns are cooked. Stir in the coriander and serve.']"
Quick lamb cutlets with feta and mint couscous,Double the quantities of this lamb cutlets recipe for an easy supper to share with friends that won’t take you more than 20 minutes.,"['6 New Zealand lamb cutlets, French-trimmed', 'A pinch of ground cumin', '150g couscous', 'The juice of 1 lemon', '2 tbsp olive oil', 'A handful pomegranate seeds', '100g feta, crumbled', 'A few fresh mint leaves, shredded', '50g natural yogurt', 'A squeeze of lemon juice', 'Flatbreads, to serve']","['Preheat the grill to high. Season the lamb and dust each side with a pinch of ground cumin. Cook on a grill pan under the grill for 2-3 minutes each side, until browned but still pink in the middle, then remove and rest.', 'Meanwhile, put the couscous into a bowl, pour over 200ml boiling water, cover and leave to stand for 10 minutes. Fluff up with a fork, then season and stir in the juice of 1 lemon, 2 tbsp olive oil, pomegranate seeds, feta and a few fresh mint leaves.', 'Pile spoonfuls onto plates and top with the grilled lamb. Mix natural yogurt with the lemon juice and a few more shredded fresh mint leaves and put in small pots to serve on the side. Accompany with flatbreads, if you like.']"
Roast chickens with a fragrant couscous stuffing,"A slightly different take on a traditional roast, this North African-inspired chicken recipe is perfect for entertaining.","['2 x 1.5kg free-range chickens', '50g butter', '4 shallots, finely chopped', '2 garlic cloves, finely chopped', '1 tsp cumin seeds', '1 tsp ground coriander', 'Pinch of chilli flakes', '150g couscous', '250ml vegetable stock, hot', '25g dried soured cherries', '50g dried apricots, chopped', '25g pine nuts, toasted', 'Large handful each fresh flatleaf parsley and mint, chopped', '6 spring onions, finely chopped']","['Preheat the oven to 180°C/fan160°C/gas 4. Pat the chickens dry with kitchen paper and place them side by side in a large roasting tin.', 'Heat half the butter in a large saucepan, add the shallots and cook gently for 4-5 minutes, until tender. Stir in the garlic, spices and chilli, and cook for a further minute. Stir through the couscous and toss well until coated in the buttery spice mix. Pour over the stock and add the cherries and apricots. Turn off the heat, cover, and stand for 10 minutes until the liquid has been absorbed.', 'Stir through the pine nuts, herbs and spring onions with a fork to break up the couscous. Season with a little salt and lots of black pepper. Spoon into the body cavity of each bird, then tie up the legs with string to secure.', 'Spread the remaining butter over the chickens and sprinkle with lots of black pepper and a little salt. Roast for 1 hour, until the chickens are golden and cooked through.', 'To serve, scoop the couscous onto warmed serving plates, carve the chickens and serve along with the pan juices and the pea salad and crushed new potatoes.']"
Harissa chicken with bulgur wheat and parsley salad,"Add flavour to plain chicken breasts in a flash. This harissa chicken is served with a healthy, light side salad made with bulgur wheat and fresh parsley.","['4 free-range chicken breasts', '2 tbsp harissa paste', '4 tbsp olive oil', 'A good squeeze of lime juice', '200g bulgur wheat', '1 carrot, coarsely grated', 'A large handful fresh flatleaf parsley, chopped', '75g juicy raisins', 'A good squeeze of lemon juice']","['Take the chicken breasts and use a rolling pin to flatten them between 2 pieces of cling film. Place in a dish and mix with harissa paste, 1 tbsp olive oil and a good squeeze of lime juice. Season well and leave to marinate for 10 minutes.', 'Put the bulgur wheat in a saucepan and cover with boiling water, bring to the boil, then simmer for 5-8 minutes, until tender. Drain and mix with the carrot, parsley, raisins, 3 tbsp olive oil and a good squeeze of lemon juice. Season and set aside.', 'Heat a frying pan until hot and fry the chicken breasts, in batches, for 2-3 minutes each side or until cooked through. Slice into strips and serve with the bulgur and parsley salad.']"
Chermoula chicken and nutty couscous,"Looking for a way to marinade chicken? This North African-style dish is a beautifully spicy way to serve chicken, with lemon, honey and garlic.","['8 chicken thighs with skin, slashed with a knife', '3 garlic cloves, crushed', '2 tbsp olive oil', '2 tbsp honey', 'Zest of 2 lemons', '1½ tsp ground cumin', '1 tsp hot paprika', '½ tsp chilli powder', '200g couscous', '1 tbsp extra-virgin olive oil', '300ml hot chicken stock', '3 tbsp chopped fresh flatleaf parsley', 'The juice of ½ lemon', '25g toasted hazelnuts, chopped']","['Preheat the oven to 200°C/fan180°C/gas 6. Marinate the chicken thighs with skin in a bowl with garlic cloves, crushed, olive oil, honey, the zest of 1 lemon, ground cumin, hot paprika and chilli powder. Season and set aside for 15 minutes.', 'Put the chicken and marinade in a shallow roasting tin and roast for 20-25 minutes, until cooked through.', 'Meanwhile, in a bowl, mix couscous with the zest of 1 lemon and the extra-virgin olive oil and pour over hot chicken stock. Cover and leave for 10 minutes, then fork through parsley, the juice of ½ lemon and 25g toasted hazelnuts chopped. Serve with the chicken.']"
Quick lamb tagine,"Take your tastebuds on a Moroccan adventure with this quick and easy lamb tagine recipe made with chickpeas, aubergine and apricots.","['1 tbsp olive oil', '4 lamb leg steaks', '1 large red onion, cut into wedges', '400g Seasoned Pioneers Moroccan Fennel & Apricot tagine Sauce', '200g canned chickpeas, drained and rinsed', '100g marinated and grilled aubergines, sliced', 'A handful of dried apricots, roughly chopped', 'Fresh coriander leaves, roughly chopped', 'The zest of ½ lemon', 'Couscous, to serve']","['Heat the olive oil in a pan, season the lamb steaks and cook for 4-5 minutes each side. Remove from the pan and set aside to rest.', 'Meanwhile, add the red onion to the pan and gently fry for 5 minutes until softened. Pour over the tagine Sauce, bring to a simmer, then stir through chickpeas and aubergines. Add a handful of dried apricots and bubble for 4 minutes.', 'Spoon the sauce over the lamb steaks and scatter with fresh coriander leaves and the lemon zest. Serve with warm couscous.']"
Moroccan lamb with lemon couscous,Just 20 minutes stands between you and this Moroccan-style lamb served with couscous.,"['1 tbsp cumin seeds', '2 tsp coriander seeds', '1 tsp chilli flakes', 'Pinch of ground cinnamon', '3 tbsp olive oil', '100ml natural yogurt', '2 (100-150g each) lamb neck fillets', '2 courgettes, sliced into ribbons', '½ chicken stock cube', '250g couscous', 'Knob of butter', 'Pared zest and juice of 1 lemon, plus lemon wedges, to serve', '2 tbsp chopped fresh coriander']","['Crush the spices with some salt and pepper. Put in a bowl and mix with 1 tablespoon oil and the yogurt. Add the lamb, turn to coat, then marinate for at least 15-20 minutes or overnight in the fridge.', 'Preheat the oven to 200°C/fan180°C/gas 6. Heat 1 tablespoon oil and fry the lamb for 5 minutes, until browned. Transfer to a tin and roast for 10-12 minutes, until cooked but still pink. Remove and cover with foil.', 'Meanwhile, toss the courgettes in the remaining oil. Heat a griddle pan and cook the courgettes, in batches, for 1 minute each side. Dissolve the stock cube in 250ml boiling water, then pour over the couscous. Add the butter and zest, fork through and cover with cling film for 5 minutes.', 'Fluff up the couscous, then stir in the juice, courgettes, coriander and seasoning. Slice the lamb and serve with couscous and lemon wedges.']"
Lamb and apricots,"This fragrant, sweet-and-sour casserole is inspired by the tagines of north Africa.","['1kg diced shoulder or neck of lamb, trimmed of any excess fat', '1½ tbsp mild olive oil', '1 onion, roughly chopped', '2 celery sticks, roughly chopped', '2 leeks, washed and roughly chopped', '3 garlic cloves, roughly chopped', '1 cinnamon stick', '3 cloves', '2 bay leaves', '3 tbsp red or white wine vinegar', '1 tbsp tomato purée', '350ml chicken or vegetable stock, hot', '500g fresh apricots, halved and stoned or a 410g can apricot halves in fruit juice, drained', '4 tbsp natural yogurt (strained, Greek style is best)']","['Season the lamb well. Heat the oil in a large, heavy-based pan or casserole over a high heat. Add half the lamb and brown on all sides. Remove with a slotted spoon and set aside while you brown the remaining lamb, then set aside as well.', 'Add the chopped vegetables and garlic to the pan and cook gently, stirring occasionally, for 15 minutes, until tender. Don’t let them brown.', 'Meanwhile, dry-roast the whole spices in a frying pan over a high heat for no more than a minute.', 'Stir the spices into the cooked vegetables, then add the bay, vinegar and tomato purée. Return the meat to the pan and stir. Add just enough stock to cover the meat. Bring to a simmer, then cover and cook over a low heat for 1 hour.', 'Add the apricots, but don’t stir into the stew. Re-cover the pan and cook for another hour. Keep checking to make sure the stock has not reduced too much – top up if needs be.', 'Once the lamb is tender (you should be able to cut the pieces with a spoon), remove the pan from the heat. Check the seasoning, then gently stir the apricots into the stew. You can either divide between bowls and garnish each portion with a tablespoon of yogurt, or serve the yogurt on the side.']"
Summer vegetable tagine,"Vary the vegetables you use, according to what’s in season, for this moreish Moorish vegetarian tagine recipe.","['2 tbsp olive oil', '12 shallots, peeled and halved if large (see tip above)', '2 garlic cloves, finely chopped', '4cm piece fresh ginger, finely chopped', '150g brown or green lentils', '2 tsp ras el hanout', '½ tsp cumin seeds', '800ml vegetable stock, hot', '100g dried ready-to-eat apricots', '150g baby carrots, scrubbed', '3 small fennel bulbs, each cut into 6 wedges, any herby fronds chopped and set aside', '2 courgettes, halved lengthways and cut into 4cm wedges', '200g fresh or frozen peas', 'Grated zest of 2 lemons, plus the juice of 1', '100g blanched almonds, toasted and chopped', 'Handful fresh flatleaf parsley, chopped']","['Heat the oil in a large tagine base, casserole or saucepan. Add the shallots and cook, stirring, for 3 minutes. Add the garlic, ginger, lentils, ras el hanout and cumin, and cook for a further minute. Pour in the stock and bring to the boil, then reduce the heat slightly, cover and simmer for 15 minutes.', 'Add the apricots, carrots, fennel and courgettes and simmer, covered, for 5 minutes. Add the peas and half the lemon zest and cook for 5 more minutes. Stir in the lemon juice and season to taste.', 'Scatter with the remaining zest, toasted almonds, fennel tops and parsley to serve.']"
Moroccan chicken stew with lemon and olives,This quick Moroccon chicken stew is full of North African flavours yet low in saturated fat.,"['2 tsp olive oil', '1 small onion, finely chopped', '4 garlic cloves, crushed', '5cm piece fresh ginger, finely grated', '1/2 tsp turmeric powder', '4 skinless chicken breasts', '1 small cinnamon stick', 'Pinch of saffron', '600ml chicken stock, hot', 'Grated zest and juice of 1 small lemon', 'Handful each fresh mint and fresh flatleaf parsley, finely chopped', '275g couscous', '15g pine nuts, toasted', '25g small black or green olives']","['Heat the oil in a large pan. Add the onion and cook, stirring occasionally, for 5 minutes, until softened. Add most of the crushed garlic (reserving a teaspoon), ginger and turmeric and cook, stirring, for 1 minute. Add the chicken, cinnamon, saffron, stock and lemon juice. Season, bring to a simmer and cook, uncovered, for 20 minutes or until the chicken is tender.', 'Meanwhile, mix together the remaining garlic, lemon zest, mint and parsley to make a gremolata', '(a classic fresh herb flavouring). Set aside.', 'Lift the cooked chicken onto a plate with a slotted spoon. Cover to keep hot. Increase the heat and boil the sauce for 10 minutes or until reduced by about half and well-flavoured.', 'Meanwhile, put the couscous in a large bowl and pour over 450ml boiling water, cover and stand for 5 minutes. Uncover and stir through the pine nuts.', 'Return the chicken to the pan along with the olives and gremolata, and stir. Serve with the couscous.']"
Moroccan shish sesame skewers,These sizzling Moroccan lamb skewers with flatbreads and tzatziki make a quick and easy midweek supper – with leftovers for lunch tomorrow.,"['1kg lean lamb, such as trimmed shoulder or leg, cubed', '2 tbsp olive oil', '1 tsp ground cumin', '1 tsp ground cinnamon', '1 tsp caster sugar', '2 garlic cloves, crushed', '2 tbsp sesame seeds', '1 tsp black onion (nigella) seeds', '7 preserved lemons, quartered', '14 pickled green chillies', '200g tub tzatziki, 4 warm flatbreads and mixed salad, to serve']","['In a large bowl, toss together the lamb, olive oil, cumin, cinnamon, sugar, garlic, seeds and some salt and pepper. Set aside for 15 minutes.', 'Thread the lamb, lemons and chillies onto 14 skewers and grill under a high heat for 5-8 minutes, turning until browned but still a little pink in the centre.', 'Serve 3 skewers per person, with the tzatziki, flatbreads and salad. Set aside the remaining 2 skewers to cool for tomorrow’s lunch.']"
Lamb shanks with lemon couscous,This lamb shank recipe stews in the oven for two hours until tender and juicy. Serve over lemony couscous for a hearty winter dinner.,"['2 tsp cumin seeds', '1 tbsp fennel seeds', '3cm piece fresh ginger, chopped', '4 garlic cloves, chopped', '2 tbsp olive oil', '4 lamb shanks, about 450g each', '2 large onions, cut into wedges', '2 tbsp Belazu Rose Harissa (from major supermarkets)', '400g can chopped tomatoes', '500ml chicken or lamb stock, hot', '1 cinnamon stick']","['Preheat the oven to 160°C/ fan140°C/gas 3. Crush the spice seeds and a good pinch of salt in a pestle and mortar, add the ginger and garlic and work to a rough paste. Set aside.', 'Heat the oil in a large casserole over a high heat. Add the lamb shanks and brown well all over. Remove and set aside.', 'Reduce the heat to medium. Add the onions and cook for 5 minutes. Stir in the spice paste and harissa, cook for 1 minute, then add the tomatoes and stock. Return the lamb shanks to the casserole and stir. Bring to the boil and add the cinnamon. Cover and bake in the oven for 2 hours, until the lamb is very tender.', 'Just before serving, put the couscous in a bowl and pour over the stock. Cover and stand for\xa05 minutes. Fluff up with a fork and stir in the herbs, lemons and butter. Season and serve with the lamb shanks and sauce.']"
Aubergine and chestnut tagine with couscous,Try this aubergine and chestnut tagine recipe for a hearty and flavourful vegetarian supper.,"['1 tbsp ground coriander', '2 tsp ground turmeric', '1 tbsp ground cinnamon', '3 tbsp olive oil', '1 red onion, finely chopped', '1 red chilli, finely chopped', '2 garlic cloves, crushed', '50g dates, finely chopped', '2cm piece fresh ginger, grated', '500g (about 2 small) aubergines, cut into 2cm cubes', '600g pumpkin or squash, deseeded and cut into 3cm cubes', '200g pack cooked, peeled chestnuts', '2 x 400g cans good plum tomatoes', 'Handful each chopped fresh mint and coriander, plus extra coriander to garnish', 'Juice of 2 lemons']","['Heat a large saucepan over a medium heat. Add ground coriander, turmeric and cinnamon and dry-fry for 1 minute. Add the oil, onion, chilli, garlic, dates and ginger and cook, stirring occasionally, for 5 minutes, until the onion is softened.', 'Add the aubergines, cook for 5 minutes, then stir in the pumpkin and chestnuts to coat in the spices. Add 100ml water and the tomatoes, breaking them up into chunks, and simmer, stirring, for 25 minutes.', 'Meanwhile, put the couscous into a bowl and season. Pour over 450ml boiling water, add half the oil and stir once. Cover and set aside for 5-10 minutes, until the couscous is tender. Fluff up the couscous with a fork.', 'Heat the remaining oil in a frying pan over a medium heat. Add the shallots and cook, stirring occasionally, for 6-8 minutes or until soft and golden. Stir into the couscous with the fresh herbs. Season to taste.', 'Stir the herbs and lemon juice into the tagine. Serve with the couscous.']"
Saffron and mint yogurt,"This special dip recipe of saffron, mint and Greek yoghurt goes great with the Moroccan Mechoui lamb – or on its own as a veggie treat.","['Small pinch of saffron strands', '1 garlic clove', '200g natural Greek yogurt', '15g fresh mint leaves, chopped']","['Put the saffron into a small bowl. Cover with 1 tablespoon just-boiled water and set aside for 10 minutes.', 'Crush the garlic. Add to the yogurt with mint. Strain over the saffron liquid, season and stir. Set aside covered, to infuse for 1 hour.', 'Just before dishing up, stir again and serve with the barbecued lamb.']"
Smoked mackerel and couscous salad,Bring the taste of North Africa to your table with this seasonal smoked mackerel and couscous salad recipe.,"['200g couscous', '150g broccoli, cut into small florets', 'Grated zest and juice of\xa0½\xa0lemon, plus extra wedges to serve', '1 tbsp extra-virgin olive oil', '¼\xa0cucumber, halved lengthways, deseeded and diced', '100g dried, ready-to-eat apricots, roughly chopped', '200g peppered smoked mackerel fillets, skinned and flaked', '15g pumpkin seeds', '15g sunflower seeds', '50g blanched whole almonds, toasted']","['Put the couscous in a large bowl and pour over 250ml boiling water. Cover and leave for 5 minutes, until the liquid has been absorbed. Fluff up the grains with a fork. Set aside.', 'Meanwhile, blanch the broccoli in boiling water for 3 minutes, until just tender. Drain, plunge into cold water, then drain again and pat dry on kitchen paper. Set aside.', 'In a small bowl, mix together the lemon zest and juice with the oil. Pour over the couscous, season well and toss together. Add the cucumber, apricots and broccoli and toss again. Divide between plates, top with the mackerel and seeds and serve with lemon wedges and the almonds.']"
Meshwiya salad,"This popular North African salad works well on its own or as a side, and is ready in just over 30 minutes.","['2 large red peppers', '450g vine-ripened tomatoes', '1 red onion, very thinly sliced', '1 red chilli, deseeded and chopped', '1 tbsp capers in brine, drained and rinsed, plus extra to garnish', '1½ tbsp lemon juice', '2 tbsp extra-virgin olive oil', '½\xa0preserved lemon, drained (we like Belazu, from major supermarkets)']","['Preheat the barbecue. When hot, add the peppers and cook over a medium heat for 20-25 minutes, turning, until blackened. Seal in a plastic bag. Once cool, discard the stalk, seeds and skin and cut into 1cm wide strips. Put into a large bowl.', 'Meanwhile, cut a shallow cross into the base of each tomato. Blanch in boiling water for 30 seconds, refresh under cold water and peel. Halve, deseed and cut the tomatoes into thin wedges. Add to the peppers, along with the onion, chilli and capers.', 'Just before serving, whisk together the lemon juice and oil and season. Toss with the salad and spoon onto a serving dish. Cut the flesh from the preserved lemon, then cut the rind into small dice. Sprinkle over the salad with a few extra capers.']"
Lamb steaks with fruity spiced couscous,Try this quick and easy lamb recipe made with an apricot and harissa couscous.,"['175g couscous', '100g dried ready-to-eat apricots, chopped,', '2 tablespoons harissa paste', 'Handful chopped fresh mint leaves', '4 lamb rump steaks', '150g natural yogurt']","['Put the couscous and apricots into a large bowl. Stir the harissa paste into 225ml boiling water, pour over the couscous and set aside for 5 minutes. Fluff up the grains with a fork, stir in two thirds of the mint leaves and season well.', 'Meanwhile, season the lamb steaks and fry in a hot, dry pan for 2-3 minutes each side, for pink, longer if you prefer them more well-cooked. Set aside for 5 minutes, then thickly slice.', 'Stir the remaining mint leaves into the natural yogurt and season.', 'Divide the couscous, lamb and mint yogurt between plates. Serve with lemon wedges, if you like.']"
Moroccan soup with couscous,"This healthy, spicy Morrocan beef soup recipe makes an impressive dinner party dish.","['2 tbsp olive oil', '450g beef rump or sirloin, trimmed of excess fat and cut into bite-size pieces', '2 small onions, chopped', '2 garlic cloves, crushed', '1 carrot, cut into small dice', '2 celery sticks, diced', '1 heaped tbsp harissa paste (try Bart Spices Harissa Paste or Belazu Rose Harissa, from the spice and condiment section in supermarkets), plus extra to serve', '2 tsp plain flour', '1.2 litres vegetable stock, hot', '400g can chopped tomatoes', '75g ready-to-eat dried apricots', '900g butternut squash, deseeded, peeled and cut into small cubes']","['Heat the olive oil in a heavy-based pan over a medium-high heat. Add the beef and cook for 5 minutes or until browned all over. Remove with a slotted spoon and set aside.', 'Add the onions and garlic to the pan, reduce the heat slightly and cook for 5 minutes, until softened. Add the carrot and celery, cover and cook for 5 minutes, until the vegetables have softened slightly. Stir in the harissa paste and flour and cook for 2 minutes. Gradually whisk in the hot vegetable stock.', 'Stir in the tomatoes and apricots, then bring to the boil. Cover and simmer gently for 20 minutes. Season well with salt and pepper.', 'Add the butternut squash and return the beef to the soup. Cover and cook for about 25 minutes, stirring occasionally, until both the squash and beef are tender.', 'Meanwhile, make the jewelled couscous. Put the couscous into a large bowl. Pour over the hot stock, cover and leave to stand for 5 minutes to absorb the liquid. Fluff up the grains with a fork, then stir in the tomatoes and mint. Season.', 'To serve, ladle the soup into warmed bowls. Pile a spoonful of couscous in the centre and serve with extra harissa on the side.']"
Moroccan lamb shanks,"Melt-in-the-mouth lamb, slow-cooked with all those fantastically aromatic flavours of North Africa, and a sweet hit from the addition of apricots. Not quite right? These curried lamb shanks are similar.","['2 tsp cumin seeds', '1 tbsp coriander seeds', '3cm piece fresh ginger, chopped', '4 garlic cloves, chopped', '1 tsp salt', '2 tbsp olive oil', '4 lamb shanks, about 450g each', '2 large red onions, cut into wedges', '11/2 tbsp Belazu Rose Harissa or Bart Spices Harissa Paste (both from major supermarkets)', '200g can chopped tomatoes', '600ml chicken stock, hot', '1 cinnamon stick', '100g dried ready-to-eat apricots, halved', '100g dried ready-to-eat figs, halved']","['Preheat the oven to 160°C/fan140°C/gas 3. Bash the cumin and coriander in a pestle and mortar or whizz together in a mini food processor, then add the ginger, garlic and salt, and work or whizz to a rough paste. Set aside.', 'Heat the oil in a large flameproof casserole (large enough for the lamb shanks to fit snugly) over a high heat. Add the lamb shanks and brown well all over. Remove and set aside.', 'Reduce the heat to medium. Add the onions to the casserole and cook for 5 minutes. Stir in the spice paste and harissa and cook for 1 minute. Add the tomatoes and stock, return the shanks to the casserole and stir together. Bring to the boil and drop in the cinnamon stick. Cover with a lid, transfer to the oven and cook for 2 hours, turning the lamb once or twice.', 'Stir the dried fruit into the casserole and return to the oven, uncovered, for a further 30 minutes or until the lamb is almost falling off the bone. Serve with hot couscous flavoured with mint, coriander, preserved lemon and lemon juice.']"
Christmas pilaff,"This easy Christmas pilaff recipe, with pomegranates, pistachios and spices, makes a colourful and tasty vegetarian rice dish.","['100g shelled pistachios', '2 pomegranates', '200g basmati rice', '400ml water or stock, hot', '4 garlic cloves, peeled but whole', '1cm piece fresh ginger, peeled but whole', '1 tbsp butter', '2 tbsp olive oil', '1 tsp coriander seeds', '2 red onions, finely sliced', 'Juice of 1 lemon', '1 large bunch fresh flatleaf parsley, roughly chopped']","['Lightly toast the pistachios in a dry frying pan, until toasted. Set aside.', 'Halve the pomegranates along their equators and, holding the cut side over a bowl, beat the seeds out of them by bashing the skin with the end of a rolling pin. Set the seeds aside. They might let go of a lot of juice while they sit, which you should drain and drink – a cook’s treat and, incidentally, very good for your throat.', 'Pop the rice and water or stock into a pan and bring just to a simmer. Add the garlic and ginger, cover and cook the rice over a very low heat, stirring halfway, for about 15 minutes, until the rice is cooked and fluffy.', 'Meanwhile, heat the butter and oil in a large frying pan over a high heat. When the butter is fizzing, add the coriander seeds. As soon as they start to pop, add the onions and lemon juice. Stir-fry for about 10 minutes, until the onions colour and start to look sticky. Set aside.', 'Once the rice is cooked, remove and discard the garlic and ginger. Mix in the parsley, onions, pistachios and pomegranate seeds. Check the seasoning and serve.']"
Moroccan spiced lamb shanks with preserved lemon and prunes,"This spicy Moroccan lamb main course has all the flavours of North Africa – it’s sweet, lemony and smoky all at once. An ideal dish for the weekend, when you’ve time to just let it slowly cook.","['4 lamb shanks or 1.1kg diced lamb', '1 tbsp plain flour, plus extra for dusting', '4 tbsp olive oil', '2 medium onions, chopped', '3 garlic cloves, crushed', '2 tsp ground cumin', '2 tsp ground coriander', '1 tsp ground ginger', '1½tsp paprika', '2 tsp harissa paste, or minced red chilli from a jar', '2 tbsp Billington’s Light Muscovado Sugar', '400g can chopped tomatoes', '1.5 litres hot lamb stock', '1 small preserved lemon, chopped, or 3 strips of lemon zest', 'Pinch of saffron strands', '250g soft prunes', 'Small bunch of fresh coriander, leaves picked and chopped']","['\xa0Season the lamb shanks or diced lamb with salt and freshly ground black pepper, then dust lightly with plain flour. Heat half the oil in a large, deep flameproof casserole in which the shanks will fit snugly, add the meat and fry until they are nicely browned on all sides or the diced lamb in batches. Lift out and set aside on a plate.', 'Add the rest of the oil and the onion to the pan and fry until the onion is golden brown. Add the garlic, ground cumin, coriander and ginger, paprika and harissa paste or minced chilli and fry for a further 2 minutes. Add the flour, the sugar, tomatoes, stock and preserved lemon or lemon zest strips and bring to the boil. Return the lamb shanks or diced lamb to the pan, bring the sauce back to the boil, then reduce the heat to low, partially cover and simmer for 30 minutes.', '\xa0Uncover the casserole and simmer for a further 1 hour, turning the shanks over every now and then so that they cook evenly.', '\xa0Meanwhile, put the saffron into a small bowl and cover with 2 tablespoons of warm water. Leave to soak.', 'Skim the excess fat from the surface of the sauce, increase the heat a little and add the saffron water. Simmer more vigorously for 30 minutes, adding the prunes 5 minutes before the end of the cooking time, until the sauce has reduced and thickened and the lamb is tender.', '\xa0Scatter the lamb with the coriander and serve with some couscous or mashed potatoes.']"
Paprika butter chicken with chickpea couscous,There’s the taste of North Africa in this sumptuous paprika butter chicken with chickpea couscous recipe. Our Kashmiri butter chicken also makes a great ‘fakeaway’ option.,"['8 boneless, skinless chicken thigh fillets', '40g butter', '2 tbsp runny honey', '1 tsp paprika', 'Juice of 1 lemon, plus wedges to serve', '200g couscous', '250ml hot vegetable stock', '1 tbsp olive oil', '410g can chickpeas, drained and rinsed', 'Large handful chopped fresh coriander or flatleaf parsley, plus extra leaves to garnish', '1 red chilli, deseeded and cut into strips, to serve (optional)']","['Preheat the oven to 200°C/fan180°C/gas 6. Sit the chicken in an ovenproof dish. Season. Melt the butter in a small saucepan, remove from the heat and stir in the honey, paprika and half the lemon juice. Season. Pour all over the chicken. Bake for 25 minutes, basting with the sauce halfway through cooking, until the chicken is cooked through, golden and sticky.', 'Meanwhile, make the couscous. Put the couscous into a large bowl and pour over the boiling stock. Cover the bowl with cling film and set aside for 5 minutes. Fluff up the couscous with a fork, then stir in the remaining lemon juice, olive oil, chickpeas and coriander or parsley. Season to taste.', 'Divide the couscous between 4 warm plates, then put the chicken on top and pour over the sauce. Garnish with a sprig of coriander or flatleaf parsley and some chilli, if using. Serve with a lemon wedge.']"
"Couscous with broad beans, peas, mint and feta","This vegetarian recipe is a refreshing summer dish that’s ready in half an hour – make the most of seasonal greens, too.","['225g couscous', '4-5 tbsp extra-virgin olive oil', '225g fresh or frozen broad beans', '225g fresh or frozen peas', '4 plum tomatoes, deseeded and finely chopped', '4 tbsp chopped fresh mint', '150g vegetarian feta, such as Cypressa feta or Futura organic feta, crumbled']","['Put the couscous into a large bowl and gradually stir in 300ml of warm water until it is all absorbed. Leave to stand for 10-15 minutes until the grains are tender and plump. Stir in 1 tablespoon of olive oil and rub the grains between your fingers to break up any lumps.', 'Cook the broad beans and peas in boiling salted water for 4-5 minutes until just tender. Refresh under cold running water. Drain well. Remove the tough outer white skin from the broad beans.', 'Stir the beans and peas into the couscous. Stir in the tomatoes and mint. Season the remaining olive oil well and pour over the couscous, using a fork to distribute it. Stir in the feta. Spoon into bowls or on to a platter and serve.']"
