title,ingredients,directions
Moroccan Braised Chicken,"[""3 12 lbs chicken breast halves, thighs, and drumsticks"", ""1 tablespoon all-purpose flour"", ""1 tablespoon extra-virgin olive oil"", ""2 lbs shallots, peeled (about 11 large)"", ""3 cinnamon sticks"", ""1 12 teaspoons ground ginger"", ""1 teaspoon ground cumin"", ""12 teaspoon turmeric"", ""18 teaspoon cayenne pepper"", ""3 cups low sodium chicken broth"", ""5 tablespoons fresh lemon juice, divided"", ""12 dates, pitted, halved"", ""14 cup almonds, toasted, coarsely chopped"", ""14 cup chopped fresh cilantro""]","[""Sprinkle chicken pieces with salt, pepper, and flour."", ""Heat olive oil in heavy large pot over medium-high heat."", ""Add half of chicken pieces to pot and cook until browned on all sides, turning occasionally, about 15 minutes."", ""Transfer chicken to baking sheet or platter; repeat with remaining chicken."", ""Pour off all but 2 tablespoons fat from pot and discard."", ""Reduce heat to medium."", ""Add shallots to pot; saute until golden, about 6 minutes."", ""Add cinnamon sticks, ginger, cumin, turmeric, and cayenne."", ""Stir until fragrant, about 1 minute."", ""Increase heat to high; add broth and 3 tablespoons lemon juice."", ""Bring to boil; reduce heat to low, cover, and simmer until shallots begin to soften, about 18 minutes."", ""Place chicken pieces atop shallots in pot."", ""Bring to boil over medium heat."", ""Reduce heat to medium-low, cover, and simmer until juices run clear when thickest part of drumstick is pierced with knife, about 25 minutes."", ""Transfer chicken and shallots to platter; tent with foil."", ""Boil juices in pot until slightly thickened."", ""Stir in dates and remaining 2 tablespoons lemon juice."", ""Reduce heat and simmer gently until dates are heated through, about 2 minutes."", ""Pour sauce and dates over chicken."", ""Sprinkle with almonds and cilantro, and serve."", ""Read More http://www.epicurious.com/recipes/food/views/Braised-Chicken-with-Dates-and-Moroccan-Spices-361592#ixzz2VZfnym7Z.""]"
Moroccan-Spiced Lamb Chops,"[""1/2 teaspoon ground cumin"", ""1/4 teaspoon ground cardamom"", ""1/4 teaspoon ground allspice"", ""1/4 teaspoon freshly ground pepper"", ""1/4 teaspoon ground ginger"", ""1/4 teaspoon cayenne pepper"", ""1/4 teaspoon cinnamon"", ""Kosher salt"", ""3 garlic cloves, minced"", ""8 lamb rib chops (2 pounds)"", ""2 tablespoons vegetable oil"", ""1 tablespoon chopped cilantro""]","[""In a small bowl, mix the spices with 1 1/2 teaspoons of kosher salt."", ""Pat the garlic all over the lamb chops, then sprinkle them with the spice mixture."", ""In a large skillet, heat the vegetable oil."", ""Add the chops and cook over moderately high heat, turning once, for about 6 minutes for medium-rare."", ""Transfer the chops to plates, garnish with the cilantro and serve.""]"
Spiced Moroccan Chicken with Onions and Prunes,"[""4 skinless boneless chicken breast halves"", ""2 tablespoons olive oil"", ""1 3/4 cups chopped onions"", ""2 large garlic cloves, chopped"", ""1 tablespoon all purpose flour"", ""1 teaspoon ground ginger"", ""1 teaspoon ground cinnamon"", ""1 teaspoon ground cumin"", ""2 cups canned low-salt chicken broth"", ""1 cup pitted prunes"", ""3 tablespoons fresh lemon juice"", ""2 tablespoons honey"", ""Chopped fresh cilantro""]","[""Sprinkle chicken with salt and pepper."", ""Heat oil in heavy large skillet over medium-high heat."", ""Add chicken; saute until brown and just cooked through, about 4 minutes per side."", ""Using tongs, transfer chicken to plate."", ""Add onions and garlic to same skillet."", ""Saute until onions begin to soften, about 3 minutes."", ""Mix in flour, ginger, cinnamon and cumin; stir 1 minute."", ""Gradually whisk in broth."", ""Add prunes, lemon juice and honey."", ""Boil until sauce thickens enough to coat spoon, whisking occasionally, about 8 minutes."", ""Return chicken to skillet."", ""Simmer until heated through, about 2 minutes."", ""Season with salt and pepper."", ""Transfer chicken and sauce to platter."", ""Sprinkle with cilantro and serve.""]"
Spicy Moroccan Lamb Chops,"[""4 lamb chops"", ""4 teaspoons harissa, paste"", ""34 cup cilantro leaf (optional)""]","[""Coat the chops with harissa, then leave to marinate for 15 minutes"", ""Heat the grill/broiler to high, place chops on the grill pan, then cook for 4 mins on each side."", ""Rest for 1 minute and serve sprinkled with chopped cilantro, if using.""]"
Moroccan Venison (Beef) Tagine W/ Dried Mango & Raisins,"[""1 12 lbs venison, cut into 1-inch cubes (or beef)"", ""3 teaspoons olive oil, divided"", ""1 teaspoon ground coriander"", ""12 teaspoon cumin"", ""1 teaspoon ground ginger"", ""1 pinch saffron (as much as you'd like)"", ""1 onion, sliced vertically"", ""1 garlic clove, minced"", ""1 34 cups vegetable stock"", ""1 cinnamon stick"", ""12 cup golden raisin"", ""23 cup dried mango, chopped"", ""1 teaspoon harissa (may also use berbere spice mix)""]","[""Combine 2 teaspoons olive oil with coriander, cumin, and ginger in medium bowl."", ""Add meat and toss to coat well."", ""Heat remaining 1 teaspoons olive oil in skillet over med."", ""high heat."", ""Brown meat on all sides; place in crock pot."", ""(I use a 2.5-3 quart crock -- if yours is a different size you may want to adjust the recipe accordingly)."", ""Add onions and garlic to skillet and saute 3-4 minutes, just till they start to brown."", ""Add veggie stock to onion mixture in skillet and bring to boil."", ""Remove from heat and add to crock pot."", ""Add cinnamon stick and cook 5 hours on LOW."", ""After 5 hours, stir stew and add raisins, mango, and harissa."", ""Cook an additional 2-3 hours."", ""Serve over couscous or rice, or with spongy bread.""]"
Barbecued Lamb Moroccan Style Recipe,"[""1 leg of lamb boned and butterflied (approx 4 lbs)"", ""Salt and fresh ground pepper to taste"", ""8 Tbsp (1 stick) butter (warm)"", ""4 cloves garlic"", ""16 fresh mint leaves, minced"", ""1 tsp ground corriander"", ""1 tsp paprika"", ""1 tsp cumin"", ""FOR SAUCE"", ""3 Tbsp butter"", ""1 onion, finely chopped"", ""2 cloves garlic, minced"", ""3 Tbsp lemon juice or white vinegar"", ""16 fresh mint leaves, finely slivered"", ""2 cups chicken broth, homemade or canned low sod"", ""Salt to taste"", ""Ground cumin for serving""]","[""Preheat grill to medium high"", ""Add salt and pepper to butterflied lamb"", ""Combine butter, garlic mint, coriander, paprika and cumin in food processor or blender (can be done in advance)"", ""Spread 1/3 of butter mix over inside of lamb"", ""Add 1 Tbsp to outside of lamb."", ""Arrange lamb outer side down on grill, turning with tongs, 15-20 minutes per side."", ""If it starts to burn, move to a cooler part of the grill or turn heat down."", ""Spread remaining butter mix over top 3-4 times."", ""Prepare the sauce by melting butter in a small saucepan on medium."", ""Add onion and garlic and saute 5 min till golden."", ""Add vinegar or lemon and mint and bring to a boil, then stir in chicken broth."", ""When boiling, reduce the head to med-low and simmer about 5 minutes."", ""Remove from heat and taste for seasoning, adding salt or lemon juice as needed."", ""Transfer lamb to a cutting board and let stand for 10 minutes."", ""Slice and serve with the sauce and tiny bowls of kosher salt and cumin for seasoning at the table.""]"
Moroccan Salad,"[""1 cup orange, peeled and separated"", ""4 lbs carrots, grated"", ""1 cup radish, thinly sliced"", ""14 cup chopped fresh cilantro"", ""14 cup chopped red onion (or green)"", ""3 tablespoons olive oil"", ""2 tablespoons fresh orange juice"", ""2 tablespoons fresh lemon juice"", ""18 teaspoon cinnamon"", ""18 teaspoon cumin (optional)"", ""18 teaspoon white pepper""]","[""Cut orange into bite-sized pieces."", ""Combine in a large bowl with carrots, radishes, cilantro and onion."", ""In a small bowl, whisk together oil, juices, cinnamon, cumin and white pepper."", ""Pour dressing over salad and toss gently."", ""Serve chilled.""]"
Moroccan Chicken Stew,"[""2 zucchini, sliced"", ""3 medium tomatoes, cubed"", ""1 eggplant"", ""1 (15 ounce) can garbanzo beans"", ""1 bunch cilantro, chopped"", ""2 chicken breasts"", ""2 tablespoons cinnamon"", ""3 tablespoons cumin"", ""3 tablespoons curry"", ""1 cup chicken broth""]","[""Warm oil in a saucepan and brown chicken on each side."", ""Add zucchini and eggplant and cook until softened."", ""Add all other ingredients and cover."", ""Simmer for 15 mins on medium heat."", ""Remove from heat (will thicken as it sits).""]"
Moroccan Griddled Peppers,"[""1 cup couscous"", ""3 tsp. olive oil"", ""4 medium bell peppers (any color), sliced in half lengthwise and seeded"", ""1 medium red onion, finely chopped (1 cup)"", ""3 cloves garlic, minced"", ""1/2 cup golden raisins"", ""1 1/2 tsp. ground cumin"", ""1/2 tsp. ground cinnamon"", ""15-oz. can garbanzo beans, rinsed and drained"", ""1/2 cup chopped flat-leaf parsley"", ""2 Tbs. fresh lemon juice (from 1/2 lemon)"", ""2 Tbs. chopped cilantro or sprigs of cilantro""]","[""In medium bowl, combine couscous and 11/4 cups boiling water."", ""Cover bowl and let stand 5 minutes."", ""Meanwhile, in large nonstick skillet, heat 1 teaspoon oil over medium-high heat."", ""Add bell pepper halves and cook, turning once, until starting to soften, 6 minutes."", ""Remove peppers and set aside."", ""Heat another 1/2 teaspoon oil in skillet."", ""Add onion and cook, stirring often, until softened, 6 to 7 minutes."", ""If pan is dry, add 1/2 teaspoon oil."", ""Add garlic, raisins, cumin and cinnamon and cook, stirring often, 2 minutes."", ""Transfer onion mixture to large bowl."", ""Add couscous, beans, parsley, lemon juice and salt and pepper to taste."", ""Spoon about 2/3 cup mixture into bell pepper halves, pressing gently to pack."", ""Heat remaining 1 teaspoon oil in skillet."", ""Add stuffed peppers skin side down and cook until skins start to blister and brown, about 5 minutes."", ""Gently turn peppers over to brown couscous mixture, about 2 minutes."", ""Transfer peppers to individual plates, sprinkle with chopped cilantro or cilantro sprigs and serve.""]"
Moroccan Couscous Salad with Olives,"[""30 grams Couscous"", ""1/2 Cucumber"", ""1/2 medium Onion"", ""1 Tomato"", ""1/2 tsp Salt"", ""1/2 tsp Olive oil"", ""8 Olives"", ""3/8 tsp Cumin powder"", ""1 tsp Parsley (finely chopped)""]","[""Chop the cucumber and onion into 5 mm squares."", ""Dice the tomato into 1 cm cubes."", ""Combine in a bowl and sprinkle with salt."", ""Let sit."", ""Mix the couscous with 40-50 ml of water and heat in the microwave until it comes to a boil."", ""Let it soak."", ""Adjust the amount of water depending on your couscous."", ""Once the couscous has rehydrated, add the olive oil, olives, cumin powder, parsley, and the chopped, drained vegetables while the couscous is still hot."", ""Top with some black olives for garnish."", ""Here's a Lebanese-style variation with lots of parsley."", ""It turns it into a refreshing salad dish."", ""Here, I made it without olives and onion."", ""I dished it up nicely onto a small plate."", ""You can serve this as a posh appetizer."", ""Here's another one without the onions."", ""I've added carrots and lemon juice."", ""You can press the couscous to give it an elegant touch."", ""I've added some dried tomatoes."", ""It really improves the taste."", ""I mixed in some tomato paste when heating the couscous to change the flavor a bit."", ""I used mint leaves instead of cumin and parsley."", ""You'll get addicted to its refreshing flavor!"", ""If you're not a fan of onions, try using shallots."", ""Here, I added curry powder when heating the couscous..."", ""It has a slightly spicy touch to it."", ""I made a puree with soy milk and herbs (like parsley and basil) to mix into the couscous before heating."", ""It turned out into a beautiful green color."", ""Mold the couscous into a ball as a side dish."", ""It's so refreshing when you add heaps of parsley."", ""Here, I served it with falafel, or chickpea croquettes."", ""Also try this sauce with some hummusand yogurt mint sauce."", ""Add a little grated garlic and it tastes amazing."", ""Enjoy with some avocados and boiled sweet potatoes."", ""It turns into a Japanese-style salad if you serve it with soy sauce."", ""Add lots of lemon juice for an even more refreshing result."", ""I served it as an appetizer."", ""Here, I flavored the couscous with curry to make a salad."", ""A brunch menu served with spinach and gorgonzola sauce."", ""I sauted some shrimp with herbs and placed it on top of some couscous and summer vegetable salad."", ""So exotic."", ""You can make this dish with bulghur."", ""Just make sure to soak it for an extended time."", ""You can enjoy this dish as a part of an appetizer plate.""]"
Moroccan Lamb and Eggplant Matzo Pie with Spicy Tomato Sauce,"[""8 tablespoons olive oil plus additional for brushing on matzo"", ""1 medium onion, finely chopped"", ""1 1/2 pounds ground lamb"", ""3 garlic cloves, finely chopped"", ""2 1/2 teaspoons salt"", ""1 1/2 teaspoons ras-el-hanout (Moroccan spice blend)*"", ""1 teaspoon dried oregano, crumbled"", ""1 teaspoon dried mint, crumbled"", ""1/2 teaspoon black pepper"", ""1/4 teaspoon cinnamon"", ""2 (28- to 32-ounce) cans whole tomatoes in juice, chopped (6 cups), reserving juice"", ""2 pound eggplant, peeled and cut crosswise into 1/3-inch slices"", ""6 matzos (about 6 inches square)"", ""1/4 teaspoon cayenne"", ""3/4 teaspoon sugar""]","[""Heat 3 tablespoons oil in a 12-inch heavy skillet (2 inches deep) over moderately high heat until hot but not smoking, then saute onion, stirring occasionally, until golden, about 5 minutes."", ""Add lamb and saute, stirring and breaking up lumps, until no longer pink, about 5 minutes."", ""Add two thirds of garlic, 1 1/2 teaspoons salt, and 1 teaspoon ras-el-hanout with oregano, mint, pepper, and cinnamon, then saute, stirring, 1 minute."", ""Stir in 4 cups tomatoes with some of juice (reserving remaining tomatoes and juice for sauce) and simmer, uncovered, stirring occasionally, until slightly thickened, 10 to 12 minutes."", ""Preheat broiler."", ""Toss eggplant slices with 4 tablespoons oil and 1/2 teaspoon salt in a bowl."", ""Brush a large shallow baking pan (1/2 to 1 inch deep) generously with oil and arrange as many slices as possible in 1 layer."", ""Broil, in batches if necessary, 5 to 7 inches from heat, turning slices over as they brown (about halfway through broiling), until tender, 12 to 15 minutes total."", ""Put oven rack in middle position and preheat oven to 350F."", ""Soak matzos, 1 or 2 at a time, in a pan of warm water until matzos are slightly softened but still hold their shape, 1 to 1 1/2 minutes."", ""Let excess water drip off and transfer matzos to paper towels or kitchen towels to drain."", ""Arrange 2 matzos side by side in a generously oiled 13- by 9- by 2-inch (3-quart) baking dish to nearly cover bottom."", ""Spread 3 cups lamb filling over matzos in pan."", ""Arrange 2 matzos side by side on top, then spread remaining filling over them."", ""Arrange eggplant slices in 1 layer over filling (overlapping slices slightly if necessary), then arrange remaining 2 matzos on top and brush with oil."", ""Bake, covered with foil, 20 minutes, then remove foil and continue to bake until filling is hot, about 10 minutes more."", ""Puree remaining 2 cups chopped tomatoes with juice in a blender."", ""Heat remaining tablespoon oil in a 10- to 12-inch skillet over moderate heat, then cook cayenne, remaining garlic, and remaining 1/2 teaspoon each ras-el-hanout and salt, stirring, until garlic is golden, about 1 minute."", ""Add tomato puree and sugar and simmer, uncovered, stirring occasionally, until slightly thickened, 4 to 6 minutes."", ""*Available at specialty foods shops and Kalustyan's (800-352-3451).""]"
Moroccan Bean Salad,"[""1/2 cup KRAFT Zesty Italian Dressing"", ""1/2 tsp. ground cumin"", ""1/2 tsp. ground cinnamon"", ""2 cans (15 oz. each) chickpeas (garbanzo beans), drained, rinsed"", ""1/2 cup raisins"", ""1/2 cup PLANTERS Slivered Almonds""]","[""Beat dressing, cumin and cinnamon in medium bowl with wire whisk until well blended."", ""Add beans and raisins; mix lightly."", ""Sprinkle with almonds; cover."", ""Refrigerate at least 30 min."", ""before serving.""]"
Moroccan Pizza,"[""4 pitas"", ""2 tsp. olive oil"", ""2 c. shredded rotisserie chicken meat"", ""1 c. marinara sauce"", ""1/2 tsp. ground cumin"", ""1/4 tsp. ground cinnamon"", ""1/2 c. shredded carrots"", ""1/4 c. pitted green olives"", ""1 c. shredded part-skim mozzarella cheese"", ""2 green onions""]","[""Preheat oven to 450 degrees F. Line large cookie sheet with foil."", ""Arrange pitas on prepared pan in single layer; brush with oil."", ""In large bowl, stir together chicken, marinara sauce, cumin, cinnamon, and 1/4 teaspoon pepper until evenly coated."", ""Divide among pitas."", ""Top with carrots, olives, and mozzarella."", ""Bake 10 to 15 minutes or until cheese is melted and pitas are crisp around edges."", ""Garnish with green onions.""]"
Tzipporah's Moroccan Chicken,"[""6 -8 pieces chicken, cut up"", ""salt and pepper"", ""olive oil"", ""paprika"", ""cumin"", ""saffron"", ""turmeric"", ""12-1 preserved lemon, rinsed well in cold water and chopped finely into a small dice"", ""2 -3 cups chicken bouillon or 2 -3 cups chicken broth"", ""4 ounces hot water"", ""kalamata olives or arabic olive"", ""1 (12 ounce) can garbanzo beans"", ""1 -2 onion, chopped""]","[""Large pan heat and add olive oil."", ""I use a fair amount 1/4 cup or so."", ""It needs a lid to it."", ""Take the chicken and rinse well, pat dry with a towel and lay on a plate to season."", ""In a bowl take kosher salt if you have it or sea salt and add the pepper to whatever ratio you are comfortable with."", ""I usually just put in a handful of salt (I don't use the whole mixture) Then add about 2 TBS of cumin, paprika and 2 tsp of turmeric."", ""If you have a morter and pestle, I grind the salt (kosher salt is a large flake size) with the spices to combine."", ""Take the 4 ounces of hot tap water and crumble up saffron strands in the water and let sit for 5 minutes."", ""Take the chicken and rub the spice mixture all over the pieces and place in the frying pan."", ""You want to brown all of the pieces evenly add the onion and brown with the chicken."", ""Onion doesn't all have to be browned, but the chicken should."", ""Once the chicken is browned, add the hot water and saffron mixture, if you are using the bullion cubes then dissolve those in 2 cups of hot water or add 2 - 3 cups of chicken broth."", ""Add the chopped lemon now and the olives and garbanzo beans."", ""The amount of olives can be as much as you like 1/2 cup or less."", ""No need to measure, just eyeball it."", ""Cover and turn down to a very low simmer."", ""If you have used boneless, skinless chicken it should be ready in about 25 minutes."", ""Bone-in chicken can be cooked for 40 minutes or so."", ""If you have a lower liquid to chicken ratio and you turn it down really low it is like poaching the chicken and the more liquid to chicken with higher temperature will result in boiling the chicken."", ""Poaching makes a more tender piece of meat."", ""I usually make a rice with this using Basmati or Jasmine rice that has been browned and simmered with chopped onion, carrots, peas, etc."", ""You can add what you like if they are all the same size dice."", ""You salt rice and brown it in olive oil, add the veggies, then the seasonings and water, turn down low and cook until finished."", ""Seasonings can basically copy the main dish or you can branch out."", ""Finish it off with green beans cooked with garlic and you are set.""]"
Moroccan-Style Dipping Sauce,"[""4 tablespoons lemon juice"", ""2 medium garlic cloves, minced"", ""12 teaspoon ground cumin"", ""12 teaspoon sweet paprika"", ""1 pinch cayenne pepper (a healthy pinch!)"", ""12 teaspoon salt"", ""23 cup extra virgin olive oil"", ""4 tablespoons minced fresh cilantro""]","[""Whisk the lemon juice, garlic, cumin, paprika, cayenne and salt together in a small bowl."", ""Gradually whisk in the oil; stir in the cilantro."", ""Serve with grilled chicken thighs, grilled baked tofu, sliced chicken breast or portobella mushrooms.""]"
Moroccan Tomato Soup,"[""5 medium cloves garlic, smashed, peeled and minced"", ""2 1/2 teaspoons sweet paprika"", ""1 1/2 teaspoons ground cumin"", ""Large pinch of cayenne pepper"", ""4 teaspoons olive oil"", ""2 1/4 pounds tomatoes, cored and cut into 1-inch pieces"", ""1/4 cup packed chopped cilantro leaves plus additional for garnish"", ""1 tablespoon white-wine vinegar"", ""2 tablespoons plus 2 teaspoons fresh lemon juice"", ""Kosher salt"", ""4 stalks celery, diced""]","[""In a small saucepan, stir together the garlic, paprika, cumin, cayenne and olive oil."", ""Place over medium-low heat and cook, stirring constantly, for 5 minutes."", ""Remove from the heat and set aside."", ""Pass the tomatoes through a food mill fitted with a large disk."", ""Stir in the cooked spice mixture, the cilantro, vinegar, lemon juice, 2 teaspoons salt, celery and 2 tablespoons water."", ""Add more salt as desired."", ""Refrigerate until cold."", ""Serve garnished with cilantro leaves.""]"
Moroccan Mint Tea,"[""1 1/2 tablespoons green tea"", ""Handful of fresh whole mint leaves"", ""Lump sugar, to taste""]","[""Bring a kettle of water to a rolling boil."", ""Heat the teapot by swirling some boiling water in it, then pour out."", ""Add the tea leaves and pour a little boiling water over them."", ""Swirl around, and quickly pour the water out again, taking care not to lose the leaves."", ""Add mint leaves and sugar to taste, and pour in about 5 cups boiling water."", ""Allow to infuse for about 5 minutes, then skim off any mint that has risen to the surface."", ""Taste a little of the tea in a small glass, and add more sugar if necessary."", ""Serve in small glasses.""]"
Shrimp in Moroccan-Style Tomato Sauce,"[""2 tablespoons olive oil"", ""1 tablespoon minced peeled fresh ginger"", ""1 tablespoon ground cumin"", ""1 1/2 teaspoons ground coriander"", ""1 lime leaf, minced, or 1 teaspoon minced lime zest"", ""One 28-ounce can chopped tomatoes, drained, or 2 cups chopped fresh tomatoes"", ""Salt and freshly ground black pepper"", ""1 1/2 pounds peeled shrimp, deveined if you like"", ""Minced fresh cilantro for garnish"", ""Lime wedges""]","[""Put the olive oil in a deep skillet and over medium-high heat."", ""A minute later, add the ginger and cook, stirring for about a minute."", ""Add the spices and lime leaf and cook, stirring, for 30 seconds."", ""Add the tomatoes and some salt and pepper, stir, and bring to a boil."", ""Reduce the heat to medium and cook, stirring occasionally, until the mixture is nearly dry, about 15 minutes."", ""Add the shrimp and stir."", ""Cook, stirring occasionally, until the shrimp are cooked through, about 10 minutes."", ""Taste and adjust the seasoning as necessary, then serve over white rice, garnished with the cilantro and accompanied by the lime wedges."", ""Almost all shrimp are frozen before sale."", ""So unless youre in a hurry, you might as well buy them frozen and defrost them yourself; this will guarantee you that they are defrosted just before you cook them, therefore retaining peak quality."", ""There are no universal standards for shrimp size; large and medium dont mean much."", ""Therefore, it pays to learn to judge shrimp size by the number per pound, as retailers do."", ""Shrimp labeled 16/20, for example, contain sixteen to twenty per pound; those labeled U-20 require fewer (under) twenty to make a pound."", ""Shrimp from fifteen to about thirty per pound usually give the best combination of flavor, ease (peeling tiny shrimp is a nuisance), and value (really big shrimp usually cost more than $15 a pound)."", ""On deveining: I dont."", ""You can, if you like, but its a thankless task, and there isnt one person in a hundred who could blind-taste the difference between shrimp that have and have not been deveined.""]"
Moroccan Haroset Truffles with Almonds and Fruits,"[""1 pound almonds"", ""1 pound pitted dates"", ""2 apples, peeled, cored, and quartered"", ""1 teaspoon plus 1/2 cup ground cinnamon"", ""1/4 teaspoon powdered ginger""]","[""Place the almonds in a food processor with a steel blade, and pulse until finely ground."", ""Add the dates, apples, 1 teaspoon of the cinnamon, and the ginger, and continue pulsing until the apples are chopped fine and the mixture comes together."", ""You might have to do this in two batches."", ""Cover, and refrigerate overnight."", ""The next day, shape the mixture into balls the size of large marbles."", ""Put about 1/2 cup cinnamon in a bowl, and roll the balls in it."", ""Serve two per person."", ""Algerian haroset balls use 1/2 pound dried figs, 1/2 pound dried pitted dates, 1 cup walnuts, 1/4 cup dry red wine, 1/2 teaspoon cinnamon, 1/4 teaspoon freshly grated nutmeg, and sugar to taste, pulsed in a food processor, then rolled into balls.""]"
Moroccan Chicken,"[""8 skinless chicken drumsticks"", ""1 (8 ounce) can pineapple chunks in juice or 1 (8 ounce) can pineapple chunks in juice, undrained"", ""1 large onion, chopped"", ""2 tablespoons lemon juice"", ""1 teaspoon salt"", ""1 teaspoon dried marjoram"", ""34 teaspoon crushed red pepper flakes"", ""14 teaspoon ground turmeric"", ""1 tablespoon cornstarch"", ""1 tablespoon cold water"", ""14 cup sliced pimento stuffed olive"", ""1 tablespoon chopped fresh parsley""]","[""Place chicken in a 5 to 6 quart slow cooker."", ""Mix pineapple, onion, garlic, lemon juice, salt, marjoram, red pepper and turmeric;pour over chicken."", ""Cover and cook on low heat setting 4 to 5 hours or until juice of chicken is no longer pink when center of thickest pieces are cut."", ""Remove chicken from cooker, using slotted spoon; place in serving dish."", ""COver to keep warm."", ""Remove fat from sauce."", ""Mix cornstarch and water; stir into sauce."", ""Caver and cook on high heat setting about 15 minutes or until thickened."", ""Stir in olives."", ""Pour sauce over chicken."", ""Sprinkle with parsley.""]"
Moroccan Garbanzo Bean and Feta Pitas,"[""1/2 cup olive oil"", ""1/3 cup white wine vinegar"", ""4 teaspoons Moroccan spice blend"", ""1 15-ounce can garbanzo beans (chickpeas), drained"", ""1 1/2 cups coarsely chopped seeded tomatoes"", ""1 1/2 cups coarsely chopped seeded peeled cucumbers"", ""1 cup coarsely crumbled feta cheese"", ""1/2 cup chopped red onion"", ""1/3 cup chopped fresh Italian parsley"", ""4 whole pita bread rounds, halved crosswise"", ""Plain yogurt""]","[""Whisk together olive oil, white wine vinegar, and Moroccan spice blend in medium bowl."", ""Place drained garbanzo beans in large bowl and mix in enough vinaigrette to coat."", ""Let stand 10 minutes to allow flavors to blend."", ""Add tomatoes, cucumbers, feta cheese, red onion, and parsley to garbanzo beans."", ""Mix in enough vinaigrette to coat."", ""Season bean salad to taste with salt and pepper."", ""Fill pita halves with bean salad and top with dollop of yogurt."", ""Place 2 pita halves on each of 4 plates; pass remaining vinaigrette separately.""]"
Moroccan Chicken,"[""3 tablespoons olive oil"", ""2 chicken breasts, cut up"", ""salt and pepper"", ""1 onion, finely chopped"", ""3 garlic cloves, finely chopped"", ""1 tablespoon chopped gingerroot"", ""1 teaspoon cumin"", ""1 teaspoon cinnamon"", ""12 teaspoon saffron thread, crushed"", ""14 teaspoon cayenne"", ""1 (28 ounce) can whole tomatoes, with juices"", ""14 cup honey"", ""1 tablespoon lemon juice"", ""salt and pepper"", ""1 tablespoon sesame seeds, toasted"", ""14 cup cilantro leaf""]","[""Heat oil in a large deep skillet."", ""Season chicken with salt and pepper and brown well."", ""Remove from skillet."", ""Discard all but 2 tbsp/25 mL fat from pan."", ""Add onions, garlic and ginger."", ""Cook until tender."", ""Add cumin, saffron, cinnamon and cayenne."", ""Cook 30 seconds."", ""Add tomatoes, breaking them up with a spoon."", ""Bring to a boil."", ""Return chicken to pan."", ""Combine with sauce."", ""Cover and simmer gently 30 minutes."", ""Remove chicken from pan and keep warm."", ""Add honey, lemon, salt and pepper to tomatoes in pan."", ""Cook, reducing juices, stirring often, uncovered, until thick."", ""Spoon sauce over chicken."", ""Sprinkle with sesame and cilantro."", ""IF USING COUSCOUS:."", ""Cook 3 cups/750 mL Israeli couscous in a large pot of boiling water for 5 to 6 minutes until tender."", ""Drain well and toss with 2 tbsp/25 mL butter or garlic olive oil and salt and pepper to taste."", ""Serve with the chicken.""]"
Clean Eating Moroccan Couscous With 7 Vegetables,"[""3 teaspoons olive oil"", ""3 garlic cloves, minced"", ""1 tablespoon Ras El Hanout Spice Blend (or Recipe #374781 #374781) or 1 tablespoon moroccan seasoning (or Clean Eating Ras El Hanout Moroccan Spice Mix #374781)"", ""1 large sweet potato, peeled and diced in 1-inch cubes"", ""2 small turnips, peeled and diced in 1-inch cubes"", ""1 medium zucchini, diced in 1-inch cubes"", ""10 ounces carrots, peeled and cut into 1-inch cubes (2 carrots)"", ""14 head cabbage, cut in 1-inch cubes (about 1/2 pound)"", ""12 red bell pepper, cut into chunks"", ""12 cup green beans, cut in thirds (about 2 ounces)"", ""12-1 teaspoon harissa or 12-1 teaspoon any chili paste or 12-1 teaspoon hot sauce"", ""12 teaspoon sea salt"", ""14 cup raisins, soaked in 2-3 tablespoons warm water for 10 minutes and then drained"", ""34 cup canned chick-peas or 34 cup garbanzo beans, drained and rinsed"", ""16 ounces whole fish, cut into chunks (tilapia, haddock or sole)"", ""1 12 cups water"", ""1 12 cups whole wheat couscous"", ""12 cup cilantro, chopped (for garnish)""]","[""Heat oil in large stockpot over medium heat, add garlic and Ras El Hanout."", ""Quickly stir until brown, about 1 minute."", ""Then add next 5 ingredients (sweet potato, turnips, zucchini, carrots and cabbage)."", ""Pour in enough water to cover vegetables."", ""Cover and cook for 25-30 minutes, until vegetables are soft but not fully cooked."", ""Add pepper, green beans, Harissa and sea salt."", ""Cook for another 10-15 minutes, until tender."", ""Ladle out 3 cups of broth and vegetables (1 1/2 cups each)."", ""Puree in blender until thick."", ""Add back to stew."", ""RECIPE CAN BE MADE UP TO HERE UP TO 2 DAYS IN ADVANCE."", ""Keep mixture stored in airtight container in refrigerator until ready to continue."", ""Mix in raisins and chickpeas."", ""Bring to a simmer over medium heat and place fish on top of mixture -- don't mix the fish in, or fish will break up."", ""Cover and cook for 10-15 minutes until the fish flakes easily with a fork."", ""Fish will steam on top."", ""While fish is cooking, boil 1 1/2 cups water in a saucepan over high heat."", ""Take off heat, add in couscous, and cover."", ""Set aside for 5 minutes."", ""Fluff couscous with fork."", ""To serve, put 1/2 cup couscous in bowl."", ""Pour 1 cup of vegetable-fish mixture on top, and sprinkle 1 tablespoon of chopped cilantro on the very top.""]"
